date,pmc_volume_index,selic_monthly_annualized
2000-01-01,46.56262,18.94
2000-02-01,47.08777,18.87
2000-03-01,49.10081,18.85
2000-04-01,49.10081,18.62
2000-05-01,51.11386,18.51
2000-06-01,48.66319,18.04
2000-07-01,50.41367,16.85
2000-08-01,50.23862,16.52
2000-09-01,49.01329,16.56
2000-10-01,49.97605,16.6
2000-11-01,50.85129,16.51
2000-12-01,70.10651,16.19
2001-01-01,47.43786,15.49
2001-02-01,44.72463,15.2
2001-03-01,50.32614,15.39
2001-04-01,48.13805,16.02
2001-05-01,49.97605,16.43
2001-06-01,48.05053,17.28
2001-07-01,48.3131,18.57
2001-08-01,49.62596,19.0
2001-09-01,47.61291,19.06
2001-10-01,50.58872,19.06
2001-11-01,49.62596,19.05
2001-12-01,68.18099,19.05
2002-01-01,46.91272,19.05
2002-02-01,44.02444,18.97
2002-03-01,50.50119,18.72
2002-04-01,47.17529,18.38
2002-05-01,50.58872,18.37
2002-06-01,47.17529,18.1
2002-07-01,49.18834,18.17
2002-08-01,50.76376,17.84
2002-09-01,46.91272,17.89
2002-10-01,50.85129,19.59
2002-11-01,49.62596,21.25
2002-12-01,64.68004,23.03
2003-01-01,44.81215,25.06
2003-02-01,43.32425,25.68
2003-03-01,44.72463,26.32
2003-04-01,45.42482,26.32
2003-05-01,47.43786,26.31
2003-06-01,44.46205,26.09
2003-07-01,47.00024,25.36
2003-08-01,47.87548,23.5
2003-09-01,45.59986,21.02
2003-10-01,49.36338,19.54
2003-11-01,49.53843,18.31
2003-12-01,66.78061,16.91
2004-01-01,47.52539,16.32
2004-02-01,45.51234,16.3
2004-03-01,49.62596,16.19
2004-04-01,50.06357,15.96
2004-05-01,52.51424,15.77
2004-06-01,50.23862,15.8
2004-07-01,52.68929,15.77
2004-08-01,51.11386,15.86
2004-09-01,49.801,16.09
2004-10-01,53.477,16.41
2004-11-01,52.60176,16.96
2004-12-01,74.39517,17.5
2005-01-01,50.50119,17.93
2005-02-01,46.4751,18.47
2005-03-01,53.477,18.97
2005-04-01,51.72652,19.32
2005-05-01,53.91462,19.61
2005-06-01,52.86433,19.75
2005-07-01,55.05243,19.72
2005-08-01,54.61481,19.75
2005-09-01,52.51424,19.61
2005-10-01,55.49004,19.25
2005-11-01,55.22747,18.87
2005-12-01,78.07117,18.24
2006-01-01,53.82709,17.65
2006-02-01,49.36338,17.28
2006-03-01,55.05243,16.74
2006-04-01,55.57757,16.19
2006-05-01,57.94071,15.7
2006-06-01,54.9649,15.18
2006-07-01,56.27776,14.98
2006-08-01,58.11576,14.66
2006-09-01,57.76566,14.17
2006-10-01,59.34109,13.95
2006-11-01,60.21633,13.65
2006-12-01,82.53488,13.19
2007-01-01,58.37833,13.13
2007-02-01,53.82709,12.93
2007-03-01,61.44166,12.74
2007-04-01,59.86623,12.58
2007-05-01,64.06737,12.43
2007-06-01,61.26661,12.03
2007-07-01,61.52918,11.73
2007-08-01,64.06737,11.43
2007-09-01,62.49194,11.22
2007-10-01,65.03013,11.18
2007-11-01,66.43051,11.18
2007-12-01,90.32449,11.18
2008-01-01,65.20518,11.18
2008-02-01,60.74147,11.18
2008-03-01,68.26851,11.18
2008-04-01,65.03013,11.37
2008-05-01,71.15679,11.63
2008-06-01,66.25546,12.09
2008-07-01,68.44356,12.36
2008-08-01,70.36908,12.92
2008-09-01,68.35603,13.39
2008-10-01,71.50689,13.66
2008-11-01,69.84394,13.64
2008-12-01,93.73792,13.66
2009-01-01,69.14375,13.32
2009-02-01,63.01709,12.66
2009-03-01,69.14375,11.7
2009-04-01,69.66889,11.11
2009-05-01,73.16984,10.16
2009-06-01,70.01898,9.54
2009-07-01,72.55717,9.01
2009-08-01,73.69498,8.65
2009-09-01,71.85698,8.65
2009-10-01,77.63355,8.65
2009-11-01,75.79555,8.65
2009-12-01,102.40276,8.65
2010-01-01,76.32069,8.65
2010-02-01,70.71917,8.65
2010-03-01,79.99669,8.65
2010-04-01,76.05812,8.72
2010-05-01,80.69688,9.4
2010-06-01,77.98364,9.94
2010-07-01,80.60936,10.32
2010-08-01,81.48459,10.66
2010-09-01,80.43431,10.66
2010-10-01,84.37288,10.66
2010-11-01,83.32259,10.66
2010-12-01,112.90561,10.66
2011-01-01,82.6224,10.85
2011-02-01,76.75831,11.17
2011-03-01,83.14754,11.62
2011-04-01,83.84773,11.74
2011-05-01,85.77326,11.92
2011-06-01,83.49764,12.1
2011-07-01,86.2984,12.25
2011-08-01,86.64849,12.42
2011-09-01,84.54792,11.91
2011-10-01,87.96135,11.7
2011-11-01,88.92411,11.4
2011-12-01,120.43265,10.9
2012-01-01,89.01163,10.7
2012-02-01,84.89802,10.4
2012-03-01,93.56287,9.82
2012-04-01,88.83659,9.35
2012-05-01,92.77515,8.87
2012-06-01,91.28725,8.39
2012-07-01,92.51258,8.07
2012-08-01,95.31334,7.85
2012-09-01,91.81239,7.39
2012-10-01,96.01353,7.23
2012-11-01,96.36363,7.14
2012-12-01,126.55931,7.16
2013-01-01,94.35058,7.11
2013-02-01,84.63545,7.12
2013-03-01,97.76401,7.15
2013-04-01,90.32449,7.26
2013-05-01,96.88877,7.42
2013-06-01,92.77515,7.9
2013-07-01,98.1141,8.23
