modelo,aic_treino,bic_treino,mae_teste,rmse_teste,mape_teste_pct,n_params,converged,ljung_box_pvalue_lag_12_treino,ljung_box_pvalue_lag_24_treino
"SARIMA(1,1,3)(0,1,1,12)",1238.254114784112,1259.6641818066787,1.4546315846964457,1.7777294912799424,1.354699467040519,6,True,1.1377169252161848e-10,3.46190096336555e-07
"SARIMA(3,1,1)(0,1,1,12)",1245.6132567482941,1267.068951367172,1.4604920793197937,1.786881093182356,1.3599548244748354,6,True,1.1708130049267273e-10,3.9979624224775697e-07
"SARIMA(2,1,1)(0,1,1,12)",1243.618012932577,1261.4977584483086,1.460921624692313,1.7876948345380856,1.3603731692616847,5,True,1.1677966371386587e-10,3.9875225230821995e-07
"SARIMA(1,1,1)(1,1,1,12)",1243.6245670777057,1261.5043125934374,1.4616830743841718,1.7890350146564462,1.3611032714662255,5,True,1.1467838363756154e-10,3.904506807551025e-07
"SARIMA(1,1,1)(0,1,1,12)",1241.6251917910463,1255.9289882036317,1.461684641630341,1.7890381019062356,1.3611065006493457,4,True,1.1480428665922008e-10,3.907716035178002e-07
"SARIMA(2,1,2)(0,1,2,12)",1188.5343083021019,1213.2124788760243,1.5082082394931817,1.8485984951717866,1.401931932261801,7,True,1.268758755934924e-07,7.135466987059743e-06
"SARIMA(3,1,3)(0,1,2,12)",1186.1111952737474,1217.8043435345076,1.5183455035198286,1.86537325014938,1.4131525666437805,9,True,5.468457555007254e-10,6.395168312863186e-12
"SARIMA(2,1,2)(0,1,1,12)",1239.5414646436911,1260.9743888367577,1.5162948107624412,1.8718945723402893,1.4134742909186542,6,True,3.011989275231722e-06,8.0077436509623e-05
"SARIMA(0,1,2)(0,1,1,12)",1241.9407048164494,1256.2293209451605,1.762006474599433,2.1498839621766503,1.6404017110391693,4,True,2.4004346557209563e-06,0.0010366155781282897
"SARIMA(0,1,1)(0,1,1,12)",1250.8423397298498,1261.5701870392886,3.083576008678671,3.5084180083060046,2.8769908585961295,3,True,1.9739228436877177e-06,0.0008263575809575359
"SARIMA(0,1,1)(1,1,0,12)",1279.9585628665268,1290.7090517928718,3.2740368672869327,3.8348814147867816,3.0827481547877342,3,True,2.0123394204907e-06,0.00040024928119825347
"SARIMA(1,1,0)(1,1,0,12)",1280.5626571405007,1291.3018466184594,3.5014423403300454,4.060177021403748,3.295437476989302,3,True,0.0005640207426979954,0.0027630542829336032
"ARIMA(2,1,1)",2083.987717113267,2098.6395590338107,5.612207887883766,8.51026385698328,4.937017872059057,4,True,9.934320276491521e-42,1.1510306111834903e-78
"ARIMA(0,1,1)",2090.175196866103,2097.501117826375,5.6110214758431,8.537551431042077,4.926866294351931,2,True,4.511491530052942e-45,1.079306701005336e-84
"ARIMA(1,1,2)",2075.6801865395983,2090.3181154026365,5.664727078949014,8.617953099742389,4.969473354011736,4,True,7.702095631544481e-40,4.306374827079927e-75
"ARIMA(1,1,1)",2086.1372563716286,2097.1261378120366,5.699821416363059,8.646778739226814,5.002271019470935,3,True,1.443625620066012e-42,2.2742122620489886e-80
"ARIMA(1,1,0)",2174.1295132789605,2181.462366655185,5.774764129021637,8.818520836208505,5.052849419824605,2,True,1.3597532845767048e-55,2.1526545763745633e-106
