modelo,aic,bic,n_params,converged,ljung_box_pvalue_lag_12,ljung_box_pvalue_lag_24
"SARIMA(3,1,3)(0,1,2,12)",1278.3947027042377,1310.9128556617304,9,True,1.8180978356349685e-08,7.320534213181038e-08
"SARIMA(2,1,2)(0,1,2,12)",1292.1116148149515,1317.4290124986176,7,True,5.7216974960143094e-08,2.238544272414324e-06
"SARIMA(1,1,3)(0,1,1,12)",1340.9426272900887,1362.8785781550077,6,True,1.0727511563245108e-11,4.344913458826936e-08
"SARIMA(2,1,2)(0,1,1,12)",1342.4245825164655,1364.3814758110232,6,True,1.3665459592214685e-06,2.576413093320039e-05
"SARIMA(0,1,2)(0,1,1,12)",1344.2564170515066,1358.894345914545,4,True,5.605794409990771e-07,0.00030103428954813947
"SARIMA(1,1,1)(0,1,1,12)",1344.3442199444794,1358.9960618650232,4,True,2.95578783917047e-11,1.2999438415350843e-07
"SARIMA(3,1,1)(0,1,1,12)",1348.2339601392048,1370.2117230200204,6,True,3.650428234829407e-11,1.405088597419026e-07
"SARIMA(1,1,1)(1,1,1,12)",1348.3498384669842,1366.664640867664,5,True,2.4012446550339646e-12,1.4796002890023858e-08
"SARIMA(0,1,1)(0,1,1,12)",1353.7855432310935,1364.7744246715013,3,True,4.874993275496156e-07,0.0002568191275255661
"SARIMA(2,1,1)(0,1,1,12)",1355.2124095586178,1373.5272119592976,5,True,1.576555350393318e-07,3.9327022284073515e-08
"SARIMA(0,1,1)(1,1,0,12)",1386.6476839807765,1397.657326749718,3,True,4.072928778793753e-07,7.507599766581476e-05
"SARIMA(1,1,0)(1,1,0,12)",1389.613726341357,1400.6130064056943,3,True,0.0001312586315618363,0.00034809628631015456
"ARIMA(1,1,2)",2242.5752116391195,2257.5343832878366,4,True,1.642440622510636e-44,1.6692792965364685e-84
"ARIMA(2,1,1)",2250.9478191951603,2265.919831946398,4,True,1.3662804824252974e-46,1.9145758947986096e-88
"ARIMA(1,1,1)",2254.289999262778,2265.5190088262066,3,True,1.2426412916896374e-47,1.3034632739415285e-90
"ARIMA(0,1,1)",2259.414553261785,2266.900559637404,2,True,1.6645406272945475e-50,1.3767198607582428e-95
"ARIMA(1,1,0)",2350.2878321148664,2357.780238495947,2,True,7.1000479434765335e-62,2.8948138465173084e-119
